onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
4	5	0.0	0.0	0.0	0.0	0.0	clip_1
44	6	99.0	99.0	99.0	99.0	99.0	clip_2
71	6	0.0	0.0	0.0	0.0	0.0	clip_3
118	8	0.5	0.5	0.5	0.5	0.5	clip_4
142	7	0.0	0.0	0.0	0.0	0.0	clip_5
168	5	0.0	0.0	0.0	0.0	0.0	clip_6
201	8	0.0	0.0	82.0	89.5	89.5	clip_7
232	6	0.0	0.0	0.0	0.0	0.0	clip_8
267	8	0.0	0.0	0.0	0.0	0.0	clip_9
308	7	50.0	50.0	88.5	88.5	88.5	clip_10
341	10	0.0	0.0	0.0	0.0	0.0	clip_11
404	9	0.0	80.0	83.0	83.0	93.5	clip_12
440	8	0.0	79.5	79.5	79.5	79.5	clip_13
473	7	100.0	100.0	100.0	100.0	100.0	clip_14
510	9	0.0	76.0	76.0	76.0	76.0	clip_15
547	4	0.0	0.0	12.0	28.5	92.5	clip_16
596	9	98.5	98.5	98.5	98.5	98.5	clip_17
638	6	100.0	100.0	100.0	100.0	100.0	clip_18
662	5	100.0	100.0	100.0	100.0	100.0	clip_19
690	8	100.0	100.0	100.0	100.0	100.0	clip_20
720	7	81.0	81.0	81.0	81.0	83.0	clip_21
750	8	100.0	100.0	100.0	100.0	100.0	clip_22
777	5	100.0	100.0	100.0	100.0	100.0	clip_23
799	5	0.0	0.0	0.0	0.0	0.0	clip_24
