onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
16	5	0.0	100.0	0.0	33.5	0.5	clip_1
45	6	0.0	44.5	0.0	0.0	0.0	clip_2
80	6	18.0	10.5	10.5	71.5	0.0	clip_3
110	7	8.5	49.0	0.0	30.5	0.5	clip_4
140	6	9.0	64.0	0.0	0.0	0.0	clip_5
173	7	23.0	27.5	0.5	25.0	0.0	clip_6
193	6	50.0	1.0	26.5	58.0	4.5	clip_7
225	5	41.5	11.5	4.0	4.0	4.0	clip_8
243	5	0.0	49.5	0.0	22.0	0.0	clip_9
250	8	0.0	43.5	0.0	0.0	0.0	clip_10
270	4	0.0	71.5	0.0	60.5	0.0	clip_11
310	6	0.0	28.5	0.0	15.0	0.0	clip_12
328	10	0.0	58.0	3.0	10.0	0.0	clip_13
360	6	0.0	100.0	0.0	6.5	0.0	clip_14
397	7	0.0	46.5	0.0	0.0	0.0	clip_15
440	5	13.0	49.5	0.0	0.0	0.0	clip_16
452	8	0.0	61.5	1.5	54.5	0.0	clip_17
478	6	0.0	47.5	0.0	65.5	65.5	clip_18
