onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
8	4	50.0	30.5	62.5	21.0	21.0	clip_1
51	8	53.5	53.5	78.5	21.0	16.0	clip_2
80	6	56.0	56.0	23.0	16.5	29.0	clip_3
108	6	50.0	50.0	70.5	25.5	17.0	clip_4
156	3	50.0	50.0	74.5	23.5	15.0	clip_5
209	5	54.5	28.0	72.0	30.0	21.0	clip_6
228	7	76.0	45.5	45.0	55.0	32.5	clip_7
252	6	67.5	53.0	41.0	73.0	49.0	clip_8
288	6	56.0	56.0	39.5	54.0	39.5	clip_9
330	6	36.0	29.0	62.5	60.5	45.5	clip_10
355	8	66.5	69.0	28.5	76.0	44.5	clip_11
390	6	68.0	68.0	38.5	70.5	48.5	clip_12
440	8	61.0	61.0	40.5	62.5	49.0	clip_13
468	9	57.5	59.0	38.0	57.0	44.5	clip_14
501	6	50.0	50.0	42.5	61.0	50.5	clip_15
543	6	71.5	71.5	21.5	81.0	47.0	clip_16
569	8	70.0	79.0	17.5	84.0	48.5	clip_17
611	8	62.0	29.5	53.5	60.0	46.0	clip_18
645	8	61.0	51.0	55.0	64.5	49.5	clip_19
675	8	47.0	42.5	56.5	39.5	27.0	clip_20
719	6	59.5	66.5	41.0	66.0	66.0	clip_21
762	8	62.5	63.5	58.0	40.5	44.5	clip_22
790	5	57.5	44.5	56.5	44.0	42.5	clip_23
