onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
16	5	66.0	66.0	40.5	65.5	51.0	clip_1
48	8	64.5	64.5	45.0	68.0	68.0	clip_2
68	4	69.5	69.5	36.0	61.0	52.0	clip_3
94	7	48.5	48.5	55.0	43.5	46.5	clip_4
116	4	50.0	50.0	32.5	69.5	44.5	clip_5
165	7	51.5	51.5	35.0	68.0	46.5	clip_6
196	6	66.5	66.5	39.5	65.5	49.0	clip_7
232	10	65.5	70.5	36.5	61.0	43.5	clip_8
285	5	50.0	50.0	55.5	45.5	45.5	clip_9
307	7	76.5	76.5	48.5	72.5	49.5	clip_10
355	10	81.5	81.5	35.0	87.0	59.0	clip_11
384	9	80.0	80.0	25.5	89.5	49.0	clip_12
