onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
19	5	30.5	30.5	30.5	67.5	55.5	clip_1
60	6	35.5	35.5	40.5	56.0	42.5	clip_2
95	5	50.0	50.0	39.0	70.5	55.0	clip_3
131	5	63.0	40.5	56.0	29.0	33.0	clip_4
147	6	56.0	42.5	60.0	39.0	52.5	clip_5
176	6	62.0	42.5	40.5	63.5	48.0	clip_6
210	5	61.5	44.0	32.0	69.0	48.5	clip_7
233	5	73.5	40.0	29.5	80.5	50.5	clip_8
255	7	58.5	43.5	68.5	31.0	51.5	clip_9
286	6	50.0	50.0	36.0	67.5	56.5	clip_10
343	5	59.5	48.5	36.5	73.5	54.5	clip_11
385	8	67.0	42.0	40.0	68.0	52.5	clip_12
412	8	65.5	58.5	30.5	77.0	56.5	clip_13
465	7	63.0	58.5	42.5	66.5	54.0	clip_14
518	6	50.0	50.0	50.0	35.5	45.5	clip_15
555	5	73.5	73.5	50.5	50.5	50.5	clip_16
594	7	59.0	59.0	56.5	46.5	55.5	clip_17
611	7	62.0	52.0	64.5	45.5	54.0	clip_18
633	7	72.0	77.5	30.5	82.0	60.0	clip_19
666	4	53.5	53.5	42.0	64.5	57.0	clip_20
701	9	65.5	70.5	34.0	76.5	58.5	clip_21
740	8	70.0	70.0	41.0	68.0	51.0	clip_22
778	9	57.5	57.5	34.5	75.5	59.0	clip_23
799	7	65.5	47.0	33.0	72.5	58.0	clip_24
839	5	63.5	49.5	34.5	70.5	56.0	clip_25
894	6	50.0	50.0	38.0	69.0	61.5	clip_26
962	7	62.0	60.0	44.0	60.0	52.0	clip_27
1002	8	64.5	55.5	30.5	78.0	57.5	clip_28
1022	5	72.5	72.5	38.0	70.0	59.0	clip_29
