onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
1	5	71.0	77.0	33.0	72.0	56.5	clip_1
26	5	42.0	30.5	52.5	28.0	23.0	clip_2
51	6	32.5	23.5	48.0	27.5	21.0	clip_3
65	6	40.0	33.5	35.5	63.5	45.0	clip_4
99	9	36.5	30.0	35.0	61.5	47.5	clip_5
132	8	57.0	45.5	41.0	58.5	53.5	clip_6
210	8	63.0	53.0	26.5	83.0	63.5	clip_7
240	9	55.0	53.5	42.5	60.5	54.5	clip_8
263	5	56.5	46.5	43.5	61.5	55.0	clip_9
296	9	50.0	50.0	50.0	43.5	49.0	clip_10
328	6	55.0	46.0	55.5	43.0	51.5	clip_11
376	8	41.0	34.0	36.0	56.5	47.5	clip_12
393	11	54.0	47.5	47.5	61.5	51.0	clip_13
422	9	62.0	64.5	32.0	84.0	64.5	clip_14
466	5	59.0	49.0	32.0	65.0	48.5	clip_15
535	8	77.5	80.0	34.0	75.0	64.0	clip_16
551	8	69.0	64.0	36.5	72.0	61.5	clip_17
574	6	56.5	46.5	37.5	69.0	54.5	clip_18
599	7	64.0	42.5	57.0	57.0	51.5	clip_19
641	8	62.5	42.0	38.5	53.0	50.0	clip_20
