onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
16	5	56.0	50.5	66.0	34.0	34.0	clip_1
45	6	36.5	30.5	65.5	23.5	12.0	clip_2
80	6	57.5	57.5	31.0	31.0	49.0	clip_3
110	7	63.5	63.5	68.5	30.5	48.0	clip_4
140	6	65.0	56.5	46.5	64.0	50.5	clip_5
173	7	54.0	54.0	29.0	80.5	36.0	clip_6
193	6	68.5	57.0	13.0	84.5	49.5	clip_7
225	5	59.0	50.5	41.0	69.0	56.0	clip_8
243	5	71.5	58.0	57.0	38.5	33.5	clip_9
250	8	63.0	41.5	55.0	38.0	51.0	clip_10
270	4	39.5	39.5	66.0	27.5	14.5	clip_11
310	6	75.0	63.5	57.5	57.5	31.0	clip_12
328	10	52.5	48.5	60.5	37.0	32.5	clip_13
360	6	61.0	52.5	72.5	27.5	15.5	clip_14
397	7	69.5	50.5	50.5	35.5	50.0	clip_15
440	5	72.5	61.0	46.0	64.0	54.5	clip_16
452	8	69.5	59.5	67.5	31.5	49.0	clip_17
478	6	65.5	53.5	68.5	25.0	48.5	clip_18
