onset	duration	Anxiety	Lips	Pride	Bad	Command	trial
27	7	77.0	77.0	39.5	67.5	62.0	clip_1
55	6	50.0	50.0	40.0	61.0	50.0	clip_2
80	8	47.0	47.0	35.5	69.5	53.5	clip_3
103	6	39.5	39.5	39.5	63.0	44.5	clip_4
135	8	72.0	72.0	40.0	67.0	55.5	clip_5
184	6	81.0	81.0	33.0	76.5	50.0	clip_6
224	8	58.5	58.5	39.0	61.0	47.5	clip_7
251	10	68.0	64.5	36.0	36.0	49.0	clip_8
282	8	56.5	56.5	37.5	63.0	49.5	clip_9
316	5	50.0	50.0	48.5	42.5	50.5	clip_10
354	8	62.0	62.0	42.0	65.0	56.0	clip_11
372	6	70.0	63.0	34.5	68.0	53.5	clip_12
405	5	71.0	72.0	30.0	81.0	81.0	clip_13
442	7	50.0	50.0	31.5	74.0	60.0	clip_14
485	5	59.5	59.5	41.5	63.5	58.5	clip_15
