onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
15	9	0.0	0.0	0.0	0.0	0.0	clip_1
35	5	4.5	0.5	0.5	0.5	0.5	clip_2
63	6	0.0	0.0	17.5	0.0	0.0	clip_3
116	7	0.0	7.5	28.0	0.0	3.5	clip_4
162	8	0.0	4.0	4.0	46.0	0.5	clip_5
185	7	0.0	12.5	35.0	0.0	2.5	clip_6
203	5	2.0	2.0	60.0	0.0	3.5	clip_7
248	7	6.5	9.5	9.5	0.0	0.0	clip_8
286	8	0.0	0.0	53.0	28.0	0.0	clip_9
333	7	30.0	0.0	15.0	26.0	0.0	clip_10
360	7	18.5	0.0	64.0	34.0	1.5	clip_11
383	7	61.0	0.0	52.5	26.5	0.0	clip_12
412	6	0.0	51.0	0.0	47.5	0.0	clip_13
470	9	8.0	8.0	6.0	29.5	0.0	clip_14
517	6	32.0	4.5	9.0	48.0	0.0	clip_15
543	7	0.0	20.0	0.0	15.5	13.5	clip_16
584	8	0.0	66.0	0.0	8.5	1.0	clip_17
627	6	42.5	0.0	62.5	47.0	2.5	clip_18
648	6	36.0	8.0	21.0	0.0	3.5	clip_19
694	7	50.0	0.0	80.0	28.0	5.0	clip_20
743	8	0.0	85.0	18.5	0.0	4.0	clip_21
785	7	0.0	80.5	11.5	13.0	11.0	clip_22
801	6	1.5	1.5	20.5	8.5	6.5	clip_23
