onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
27	7	40.0	56.0	63.0	24.0	2.5	clip_1
55	6	27.5	0.0	89.0	63.5	0.0	clip_2
80	8	8.5	0.0	0.0	0.0	0.0	clip_3
103	6	26.0	0.0	70.5	73.5	0.0	clip_4
135	8	49.0	58.5	44.5	26.0	6.0	clip_5
184	6	50.0	27.0	62.0	0.0	0.0	clip_6
224	8	52.5	11.0	11.0	1.0	0.0	clip_7
251	10	50.5	27.0	22.5	100.0	0.0	clip_8
282	8	39.5	64.0	64.0	64.0	14.5	clip_9
316	5	82.5	80.0	0.5	13.5	82.5	clip_10
354	8	83.5	30.5	0.0	0.0	19.5	clip_11
372	6	37.5	65.5	65.5	8.0	16.5	clip_12
405	5	50.0	82.5	96.5	0.0	0.0	clip_13
442	7	50.0	28.0	74.5	0.0	0.0	clip_14
485	5	50.0	50.0	55.5	0.0	0.0	clip_15
