onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
6	5	72.0	58.0	56.0	59.5	53.0	clip_1
29	5	55.0	44.0	51.0	36.0	40.5	clip_2
60	6	62.0	60.0	63.5	61.5	69.0	clip_3
82	7	62.0	65.0	58.5	65.0	75.0	clip_4
113	6	58.5	54.0	57.5	60.0	75.0	clip_5
134	6	33.5	58.0	40.5	58.0	79.0	clip_6
166	9	36.5	55.0	64.0	60.0	72.5	clip_7
196	8	27.0	53.0	68.0	72.5	40.5	clip_8
239	8	37.5	47.0	37.0	59.5	48.5	clip_9
267	9	34.5	59.5	38.0	60.5	73.5	clip_10
307	10	41.5	48.5	56.5	53.0	62.0	clip_11
352	8	33.0	46.0	32.5	59.0	43.0	clip_12
392	6	36.5	56.0	40.0	59.0	68.5	clip_13
405	7	37.5	49.0	34.5	53.0	48.0	clip_14
443	8	32.5	55.0	36.0	62.0	42.0	clip_15
507	9	38.0	54.0	59.0	62.0	57.5	clip_16
532	7	70.0	57.5	74.5	68.0	75.0	clip_17
570	7	39.0	47.0	39.0	48.5	42.0	clip_18
598	9	86.0	58.5	79.0	74.0	90.5	clip_19
645	8	81.0	62.5	75.5	75.5	83.0	clip_20
674	5	64.0	72.0	66.0	69.5	60.5	clip_21
707	9	90.5	83.5	93.5	82.5	94.5	clip_22
740	7	60.5	53.5	62.0	66.5	62.5	clip_23
776	10	45.5	49.0	39.5	50.0	61.0	clip_24
803	5	42.0	64.0	59.0	65.5	80.5	clip_25
829	7	34.5	43.0	35.0	59.0	76.5	clip_26
864	6	25.0	51.0	33.0	57.5	69.0	clip_27
910	8	61.5	66.5	69.5	66.0	58.5	clip_28
955	10	85.5	78.0	89.0	82.0	92.0	clip_29
972	7	84.5	54.5	71.0	80.0	51.5	clip_30
986	6	76.0	67.5	77.0	81.5	90.0	clip_31
