onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
8	4	30.0	22.5	18.5	14.5	14.5	clip_1
51	8	64.0	60.5	66.5	58.5	62.0	clip_2
80	6	75.0	67.0	47.0	66.0	75.5	clip_3
108	6	62.5	71.0	64.5	71.5	64.0	clip_4
156	3	59.0	57.0	65.0	61.0	67.5	clip_5
209	5	62.5	70.5	63.5	67.5	83.5	clip_6
228	7	38.5	76.5	43.5	66.5	92.0	clip_7
252	6	78.5	92.0	81.0	89.5	53.0	clip_8
288	6	72.0	84.0	82.5	84.5	67.0	clip_9
330	6	69.0	78.5	75.0	77.5	61.0	clip_10
355	8	10.0	80.0	19.0	64.5	87.5	clip_11
390	6	26.0	51.5	69.5	81.0	91.5	clip_12
440	8	31.5	65.5	35.5	61.5	75.5	clip_13
468	9	37.0	59.0	36.0	59.0	80.5	clip_14
501	6	71.0	64.5	77.0	71.0	81.5	clip_15
543	6	23.0	60.5	34.5	59.5	76.0	clip_16
569	8	10.5	75.5	17.0	81.0	100.0	clip_17
611	8	58.5	62.5	49.0	65.0	81.5	clip_18
645	8	42.5	53.0	66.0	59.0	70.0	clip_19
675	8	33.5	52.5	31.5	54.5	61.5	clip_20
719	6	21.5	53.0	32.5	62.5	73.5	clip_21
762	8	37.5	55.5	63.0	59.0	69.5	clip_22
790	5	75.5	71.0	87.0	80.0	66.5	clip_23
