onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
16	5	25.5	82.5	25.5	61.5	89.0	clip_1
45	6	78.5	67.5	75.5	80.5	62.0	clip_2
80	6	32.5	93.5	23.0	73.0	94.0	clip_3
110	7	69.5	68.0	72.0	72.0	77.5	clip_4
140	6	39.0	59.5	67.5	61.5	55.0	clip_5
173	7	10.5	83.5	77.0	72.0	100.0	clip_6
193	6	0.0	95.5	6.5	72.5	100.0	clip_7
225	5	29.0	56.5	65.0	58.0	63.0	clip_8
243	5	64.5	71.5	71.5	78.5	94.0	clip_9
250	8	92.0	75.5	98.0	79.5	100.0	clip_10
270	4	100.0	70.0	100.0	77.5	93.5	clip_11
310	6	100.0	64.5	100.0	76.5	97.5	clip_12
328	10	90.0	96.0	94.0	83.5	92.0	clip_13
360	6	100.0	57.0	100.0	79.5	29.0	clip_14
397	7	71.5	77.0	72.5	75.0	90.5	clip_15
440	5	21.5	72.0	30.5	66.0	86.5	clip_16
452	8	100.0	73.0	90.0	79.0	57.0	clip_17
478	6	100.0	74.0	98.5	82.5	94.0	clip_18
