onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
19	5	0.5	0.0	5.5	3.0	0.0	clip_1
60	6	0.0	100.0	100.0	2.0	0.0	clip_2
95	5	3.5	2.5	0.0	0.0	100.0	clip_3
131	5	0.0	0.0	69.5	0.0	0.0	clip_4
147	6	0.5	0.5	0.5	0.5	0.5	clip_5
176	6	0.5	0.5	2.5	2.5	0.0	clip_6
210	5	0.0	0.0	0.0	0.0	53.0	clip_7
233	5	80.0	9.5	0.0	0.0	0.0	clip_8
255	7	100.0	100.0	100.0	100.0	38.5	clip_9
286	6	0.0	0.0	0.0	0.0	0.0	clip_10
343	5	1.5	0.0	0.0	0.0	0.0	clip_11
385	8	0.0	96.0	100.0	100.0	100.0	clip_12
412	8	0.0	88.0	100.0	1.5	90.0	clip_13
465	7	100.0	100.0	100.0	45.5	0.0	clip_14
518	6	0.0	80.5	27.5	0.0	0.0	clip_15
555	5	1.5	70.5	12.5	0.0	0.0	clip_16
594	7	50.0	50.0	92.5	100.0	2.0	clip_17
611	7	100.0	100.0	100.0	100.0	0.5	clip_18
633	7	1.0	1.0	1.0	1.0	1.0	clip_19
666	4	2.5	96.0	96.0	3.0	3.0	clip_20
701	9	98.5	2.5	0.0	0.0	0.0	clip_21
740	8	0.0	0.0	0.0	0.0	100.0	clip_22
778	9	1.0	1.0	1.0	1.0	1.0	clip_23
799	7	1.5	1.5	1.5	1.5	1.5	clip_24
839	5	100.0	100.0	100.0	21.0	0.0	clip_25
894	6	50.0	100.0	100.0	100.0	16.5	clip_26
962	7	0.0	0.0	0.0	0.0	0.0	clip_27
1002	8	2.0	100.0	100.0	100.0	0.0	clip_28
1022	5	100.0	100.0	100.0	17.0	0.0	clip_29
