onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
8	4	3.0	0.5	0.5	0.5	0.5	clip_1
51	8	0.0	0.0	0.0	0.0	0.0	clip_2
80	6	3.5	85.5	0.0	0.0	0.0	clip_3
108	6	0.0	93.0	37.5	0.0	0.0	clip_4
156	3	0.0	0.5	96.0	72.0	2.5	clip_5
209	5	0.0	0.0	0.0	0.0	0.0	clip_6
228	7	0.5	0.5	95.5	4.0	99.0	clip_7
252	6	0.0	97.5	98.0	0.0	0.0	clip_8
288	6	2.0	2.0	2.0	2.0	2.0	clip_9
330	6	2.0	100.0	100.0	11.0	100.0	clip_10
355	8	1.0	1.0	1.0	1.0	100.0	clip_11
390	6	15.5	5.5	5.5	32.5	94.0	clip_12
440	8	16.5	16.5	29.0	11.5	100.0	clip_13
468	9	6.5	6.5	6.5	6.5	85.0	clip_14
501	6	5.5	5.5	5.5	11.0	98.0	clip_15
543	6	10.0	10.0	10.0	10.0	10.0	clip_16
569	8	2.5	2.5	2.5	2.5	2.5	clip_17
611	8	89.0	89.0	89.0	89.0	84.5	clip_18
645	8	5.0	92.5	92.5	46.5	85.0	clip_19
675	8	5.5	19.5	19.5	19.5	90.5	clip_20
719	6	7.5	0.0	2.0	0.0	79.5	clip_21
762	8	7.5	3.0	4.0	4.0	4.0	clip_22
790	5	11.5	92.5	92.5	92.5	92.5	clip_23
