onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
6	5	0.0	0.0	0.0	0.0	0.0	clip_1
29	5	1.0	0.0	0.0	0.0	0.0	clip_2
60	6	0.0	0.0	0.0	0.0	0.0	clip_3
82	7	0.0	0.0	0.0	0.0	0.0	clip_4
113	6	50.0	50.0	77.0	71.5	71.5	clip_5
134	6	87.0	87.0	87.0	1.5	1.5	clip_6
166	9	89.5	89.5	89.5	89.5	89.5	clip_7
196	8	6.5	6.5	6.5	6.5	6.5	clip_8
239	8	0.0	0.0	0.0	0.0	0.0	clip_9
267	9	4.5	4.5	4.5	4.5	4.5	clip_10
307	10	33.0	73.0	0.0	0.0	0.0	clip_11
352	8	1.5	0.0	0.0	0.0	0.0	clip_12
392	6	0.0	0.0	0.0	0.0	0.0	clip_13
405	7	0.0	0.0	0.0	0.0	0.0	clip_14
443	8	0.0	0.0	0.0	0.0	0.0	clip_15
507	9	10.5	10.5	10.5	10.5	10.5	clip_16
532	7	78.5	78.5	80.0	76.5	80.5	clip_17
570	7	22.5	22.5	22.5	22.5	22.5	clip_18
598	9	5.0	1.0	1.0	1.0	1.0	clip_19
645	8	17.0	12.5	12.5	12.5	12.5	clip_20
674	5	22.5	22.5	22.5	22.5	22.5	clip_21
707	9	89.0	89.0	89.0	89.0	100.0	clip_22
740	7	99.5	55.5	88.0	88.0	88.0	clip_23
776	10	99.0	99.0	99.0	99.0	99.0	clip_24
803	5	35.0	78.5	78.5	78.5	78.5	clip_25
829	7	25.0	25.0	13.5	0.0	0.0	clip_26
864	6	0.0	0.0	0.0	0.0	0.0	clip_27
910	8	0.0	0.0	0.0	0.0	0.0	clip_28
955	10	19.5	63.5	63.5	63.5	63.5	clip_29
972	7	90.0	90.0	90.0	90.0	90.0	clip_30
986	6	0.5	0.5	0.5	0.5	0.5	clip_31
