onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
15	6	3.0	4.5	98.5	98.5	98.5	clip_1
38	6	0.0	0.0	0.0	0.0	98.0	clip_2
94	5	0.0	0.0	0.0	0.0	0.0	clip_3
160	8	0.0	0.0	0.0	0.0	0.0	clip_4
190	6	0.0	0.0	0.0	0.0	0.0	clip_5
225	7	0.0	0.0	0.0	0.0	0.0	clip_6
265	7	0.0	0.0	0.0	0.0	0.0	clip_7
298	7	0.0	0.0	0.0	2.0	99.0	clip_8
371	7	0.0	0.0	0.0	0.0	0.0	clip_9
420	5	0.0	0.0	0.0	0.0	0.0	clip_10
452	6	0.0	0.0	0.0	0.0	0.0	clip_11
510	6	100.0	91.5	91.5	91.5	91.5	clip_12
536	6	98.5	98.5	98.5	98.5	98.5	clip_13
575	7	100.0	100.0	100.0	100.0	100.0	clip_14
593	7	100.0	100.0	100.0	100.0	100.0	clip_15
633	7	100.0	100.0	100.0	100.0	100.0	clip_16
663	7	100.0	100.0	100.0	100.0	89.0	clip_17
706	7	100.0	100.0	100.0	100.0	100.0	clip_18
