onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
27	7	6.5	57.5	10.0	10.0	11.0	clip_1
55	6	16.5	34.0	8.0	31.5	25.0	clip_2
80	8	11.5	57.5	31.5	30.5	23.0	clip_3
103	6	16.5	66.5	27.0	27.0	30.5	clip_4
135	8	15.5	52.5	26.0	26.0	25.5	clip_5
184	6	16.5	54.5	23.5	23.5	23.5	clip_6
224	8	17.0	57.0	19.5	19.5	27.5	clip_7
251	10	23.5	57.0	26.0	26.0	26.0	clip_8
282	8	27.0	73.0	29.5	29.5	48.0	clip_9
316	5	26.0	22.0	22.5	49.5	9.5	clip_10
354	8	28.5	64.0	25.5	47.0	21.5	clip_11
372	6	23.5	61.5	29.0	45.0	17.5	clip_12
405	5	23.5	64.0	6.5	6.5	53.5	clip_13
442	7	21.5	69.5	17.0	17.0	57.5	clip_14
485	5	26.0	9.5	1.0	1.0	52.5	clip_15
