onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
16	5	11.0	12.0	12.0	45.5	30.0	clip_1
48	8	6.5	58.5	24.0	46.5	8.0	clip_2
68	4	6.0	41.0	39.0	48.5	10.5	clip_3
94	7	12.5	56.0	34.0	48.5	24.0	clip_4
116	4	9.5	65.0	36.5	28.0	63.5	clip_5
165	7	6.5	13.0	13.0	50.5	19.5	clip_6
196	6	7.0	51.0	27.5	49.5	19.5	clip_7
232	10	6.5	62.5	20.5	48.5	19.5	clip_8
285	5	8.5	54.5	9.0	35.5	31.0	clip_9
307	7	4.0	59.0	0.0	0.0	0.0	clip_10
355	10	7.0	55.0	0.0	0.0	56.5	clip_11
384	9	0.0	54.5	1.0	0.0	69.0	clip_12
