onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
16	5	4.5	53.5	35.0	35.0	63.5	clip_1
45	6	0.0	25.0	75.5	79.0	56.0	clip_2
80	6	2.0	58.5	44.0	72.0	34.5	clip_3
110	7	4.0	66.0	46.5	46.5	67.5	clip_4
140	6	1.5	51.0	35.0	41.0	67.5	clip_5
173	7	2.0	61.0	16.5	10.5	94.5	clip_6
193	6	6.5	70.0	4.5	4.5	76.0	clip_7
225	5	0.0	77.0	10.5	10.5	90.0	clip_8
243	5	1.5	74.5	57.5	57.5	78.5	clip_9
250	8	1.0	50.0	64.0	81.5	73.0	clip_10
270	4	5.5	7.5	74.0	73.5	23.5	clip_11
310	6	2.5	32.5	76.0	76.0	44.0	clip_12
328	10	6.0	14.5	56.5	56.5	20.5	clip_13
360	6	4.5	53.5	63.0	63.0	19.5	clip_14
397	7	1.5	22.0	48.5	48.5	11.0	clip_15
440	5	4.5	4.5	25.0	46.5	26.0	clip_16
452	8	0.0	49.0	6.5	33.0	59.5	clip_17
478	6	2.0	44.5	47.5	47.5	31.0	clip_18
