onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
2	6	52.0	5.5	5.5	96.5	4.0	clip_1
23	5	38.0	2.5	20.5	96.5	4.0	clip_2
66	6	29.5	5.5	15.5	95.5	7.0	clip_3
85	7	30.0	4.5	24.5	97.0	5.5	clip_4
106	6	71.5	3.0	3.0	86.5	4.0	clip_5
124	6	77.0	3.5	3.5	98.0	3.5	clip_6
148	6	95.5	4.0	4.0	94.5	5.0	clip_7
170	10	50.0	0.0	1.0	97.0	3.0	clip_8
195	10	35.5	2.0	2.0	93.0	2.0	clip_9
238	8	36.5	0.0	17.5	96.5	4.0	clip_10
264	8	3.0	3.0	81.5	74.5	1.0	clip_11
294	9	8.5	2.5	83.5	83.5	6.0	clip_12
335	8	7.5	43.5	10.5	80.0	4.0	clip_13
359	5	50.0	1.5	1.5	94.5	5.5	clip_14
395	6	50.0	2.5	3.5	95.5	4.5	clip_15
