onset	duration	Fear	Tackle	Suddenly	Command	Surprise	trial
16	5	0.0	0.0	0.0	0.0	0.0	clip_1
45	6	0.0	0.0	0.0	0.0	0.0	clip_2
80	6	0.0	0.0	0.0	0.0	0.0	clip_3
110	7	0.0	0.0	0.0	0.0	0.0	clip_4
140	6	2.0	2.0	2.0	0.0	0.0	clip_5
173	7	0.0	0.0	0.0	0.0	0.0	clip_6
193	6	100.0	100.0	100.0	100.0	100.0	clip_7
225	5	0.0	0.0	0.0	0.0	0.0	clip_8
243	5	0.0	0.0	0.0	0.0	0.0	clip_9
250	8	0.0	0.0	0.0	0.0	0.0	clip_10
270	4	0.0	0.0	100.0	0.0	0.0	clip_11
310	6	77.5	77.5	56.5	15.0	0.0	clip_12
328	10	85.0	85.0	85.0	85.0	85.0	clip_13
360	6	0.0	0.0	0.0	0.0	0.0	clip_14
397	7	0.0	0.0	0.0	0.0	0.0	clip_15
440	5	100.0	100.0	100.0	100.0	100.0	clip_16
452	8	82.5	82.5	86.5	51.0	33.5	clip_17
478	6	0.0	0.0	0.0	0.0	0.0	clip_18
