onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
16	5	65.5	46.5	71.5	69.0	27.5	clip_1
48	8	30.0	22.0	87.5	74.0	21.5	clip_2
68	4	75.5	38.0	72.0	72.0	30.0	clip_3
94	7	20.5	18.0	82.5	81.0	19.0	clip_4
116	4	73.0	25.5	75.0	26.5	20.0	clip_5
165	7	71.0	49.5	74.5	77.0	37.0	clip_6
196	6	87.5	64.5	89.5	13.5	48.5	clip_7
232	10	65.0	62.0	39.0	26.5	24.5	clip_8
285	5	52.0	27.0	76.0	76.0	37.0	clip_9
307	7	90.5	76.5	20.5	17.5	85.0	clip_10
355	10	80.5	69.0	49.0	25.0	76.0	clip_11
384	9	91.0	78.5	19.5	15.0	85.0	clip_12
