onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
4	5	69.0	18.0	81.0	80.5	19.5	clip_1
44	6	94.0	86.5	38.5	10.5	85.5	clip_2
71	6	50.0	9.5	87.5	92.0	7.5	clip_3
118	8	32.5	12.0	91.5	88.0	11.0	clip_4
142	7	17.5	7.5	92.0	91.0	6.0	clip_5
168	5	10.5	10.5	91.5	92.0	11.0	clip_6
201	8	11.0	12.0	91.5	92.0	14.5	clip_7
232	6	21.5	11.5	86.5	91.0	10.0	clip_8
267	8	9.5	9.5	100.0	94.0	11.0	clip_9
308	7	7.0	11.5	91.0	91.0	10.5	clip_10
341	10	89.0	89.0	90.5	20.5	61.5	clip_11
404	9	11.5	13.0	85.0	85.0	15.5	clip_12
440	8	21.5	15.0	86.5	82.0	13.5	clip_13
473	7	81.0	13.5	88.0	83.0	7.5	clip_14
510	9	10.5	8.5	89.5	95.5	7.5	clip_15
547	4	3.0	12.5	93.5	93.0	8.0	clip_16
596	9	79.5	53.5	80.0	79.5	18.5	clip_17
638	6	84.5	32.0	82.0	21.5	24.5	clip_18
662	5	83.5	61.0	79.5	77.0	71.0	clip_19
690	8	77.0	26.0	49.5	26.5	81.5	clip_20
720	7	81.5	57.0	25.5	22.0	51.0	clip_21
750	8	86.5	86.5	33.5	25.0	82.5	clip_22
777	5	75.0	69.5	34.0	75.5	75.5	clip_23
799	5	87.5	27.0	71.0	83.0	67.5	clip_24
