onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
1	5	0.0	34.5	18.0	70.5	0.0	clip_1
26	5	0.0	0.0	0.0	0.0	0.0	clip_2
51	6	0.0	0.0	0.0	0.0	0.0	clip_3
65	6	22.0	32.0	0.0	0.0	0.0	clip_4
99	9	0.0	50.0	0.0	0.0	0.0	clip_5
132	8	0.0	38.0	0.0	0.0	0.0	clip_6
210	8	11.0	4.5	0.0	3.0	0.0	clip_7
240	9	26.5	22.5	0.0	0.0	0.0	clip_8
263	5	0.0	46.0	0.0	0.0	0.0	clip_9
296	9	0.0	44.5	1.0	1.0	1.0	clip_10
328	6	0.0	48.0	0.0	0.0	0.0	clip_11
376	8	14.0	0.0	0.0	0.0	0.0	clip_12
393	11	20.0	32.0	4.0	0.0	0.0	clip_13
422	9	12.0	18.0	0.0	0.0	0.0	clip_14
466	5	0.0	45.0	0.0	0.0	0.0	clip_15
535	8	0.0	46.0	0.0	0.0	0.0	clip_16
551	8	0.0	13.0	59.0	32.5	55.5	clip_17
574	6	16.5	45.0	13.0	0.0	23.5	clip_18
599	7	10.5	35.0	7.0	5.5	0.0	clip_19
641	8	0.0	40.5	0.0	5.0	0.0	clip_20
