onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
8	4	50.0	50.0	0.0	0.0	0.0	clip_1
51	8	62.5	29.0	0.0	0.0	0.0	clip_2
80	6	65.5	61.0	0.0	0.0	61.5	clip_3
108	6	30.5	55.0	0.0	46.5	63.0	clip_4
156	3	14.0	14.0	0.0	60.0	60.0	clip_5
209	5	0.0	0.0	0.0	0.0	49.0	clip_6
228	7	41.0	41.0	29.0	29.0	7.5	clip_7
252	6	50.0	57.5	33.0	33.0	24.5	clip_8
288	6	19.0	0.0	0.0	68.0	32.0	clip_9
330	6	58.5	38.5	25.5	18.5	18.5	clip_10
355	8	90.0	63.0	20.0	8.0	0.0	clip_11
390	6	60.0	67.0	25.5	0.0	0.0	clip_12
440	8	27.0	13.5	40.0	16.0	39.5	clip_13
468	9	64.5	64.5	46.0	27.0	16.5	clip_14
501	6	66.5	66.5	65.0	25.0	25.0	clip_15
543	6	80.0	73.0	79.0	0.0	0.0	clip_16
569	8	74.0	74.0	67.5	0.0	0.0	clip_17
611	8	34.5	34.5	0.0	73.5	47.5	clip_18
645	8	13.5	27.5	6.5	65.5	65.5	clip_19
675	8	16.5	16.5	0.0	64.5	64.5	clip_20
719	6	22.0	30.5	12.5	0.0	14.0	clip_21
762	8	28.0	10.5	0.0	7.5	22.0	clip_22
790	5	14.5	0.0	0.0	81.0	100.0	clip_23
