onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
9	4	8.5	8.5	72.5	72.5	0.0	clip_1
37	8	30.0	43.5	43.5	17.0	17.0	clip_2
58	4	0.0	0.0	0.0	0.0	0.0	clip_3
80	4	43.5	37.5	23.0	11.5	0.0	clip_4
104	10	56.0	41.0	69.0	23.5	0.0	clip_5
134	7	41.5	60.5	32.5	43.0	39.5	clip_6
155	5	0.0	0.0	0.0	38.5	19.5	clip_7
188	6	50.0	37.5	28.5	28.5	47.0	clip_8
209	8	59.0	44.0	58.5	26.5	19.0	clip_9
237	8	55.5	62.0	37.0	28.0	28.0	clip_10
279	9	25.0	68.5	14.5	41.5	24.5	clip_11
307	5	17.0	41.5	44.0	0.0	0.0	clip_12
358	6	5.0	66.0	53.5	68.5	58.5	clip_13
374	9	38.5	9.0	90.5	6.5	0.0	clip_14
395	9	36.5	72.0	91.5	33.0	30.0	clip_15
432	8	79.5	75.0	75.0	0.0	0.0	clip_16
488	5	88.5	5.0	68.0	25.0	25.0	clip_17
512	8	15.5	62.5	70.5	69.0	44.5	clip_18
535	5	0.0	75.5	14.0	69.5	73.5	clip_19
576	6	0.0	38.0	0.0	100.0	67.0	clip_20
