onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
8	4	4.5	37.5	12.5	2.5	0.0	clip_1
51	8	17.5	53.5	26.5	6.5	0.0	clip_2
80	6	18.0	55.0	25.5	16.0	0.0	clip_3
108	6	8.5	52.5	22.5	16.0	0.0	clip_4
156	3	0.0	0.0	0.0	0.0	0.0	clip_5
209	5	16.0	64.5	24.5	6.5	0.0	clip_6
228	7	10.0	45.5	21.5	8.0	0.0	clip_7
252	6	13.0	60.0	23.0	7.0	0.0	clip_8
288	6	19.0	58.5	16.0	3.0	0.0	clip_9
330	6	15.0	61.5	7.0	0.0	0.0	clip_10
355	8	17.0	36.5	21.5	12.5	0.0	clip_11
390	6	0.0	0.0	0.0	0.0	0.0	clip_12
440	8	24.0	52.0	32.5	14.0	2.5	clip_13
468	9	14.5	8.0	22.0	12.0	0.0	clip_14
501	6	27.5	27.5	51.0	13.5	2.0	clip_15
543	6	51.5	26.5	36.5	14.5	1.0	clip_16
569	8	25.5	32.5	19.0	11.5	0.0	clip_17
611	8	21.5	21.5	12.5	5.0	0.0	clip_18
645	8	27.0	36.0	26.0	19.0	14.5	clip_19
675	8	19.0	22.5	14.5	32.0	0.0	clip_20
719	6	19.0	32.0	19.5	9.0	0.0	clip_21
762	8	18.5	33.5	17.0	9.5	0.0	clip_22
790	5	20.0	13.5	6.5	6.5	0.0	clip_23
