onset	duration	Move	Agent	Good	Stop	Calm	trial
9	4	50.0	69.5	53.0	37.0	57.0	clip_1
37	8	59.5	70.5	39.5	67.0	38.5	clip_2
58	4	44.0	27.0	58.0	30.5	67.0	clip_3
80	4	36.0	27.5	53.0	33.0	52.0	clip_4
104	10	58.0	37.5	33.5	57.5	46.0	clip_5
134	7	43.0	65.5	52.5	45.5	51.5	clip_6
155	5	44.0	64.5	64.0	36.5	64.0	clip_7
188	6	33.5	72.0	63.0	29.5	51.5	clip_8
209	8	36.0	70.5	59.0	29.5	50.5	clip_9
237	8	35.0	72.5	63.5	30.0	64.0	clip_10
279	9	59.5	33.5	54.5	34.0	55.5	clip_11
307	5	46.0	65.5	49.0	31.5	50.5	clip_12
358	6	50.0	78.0	49.0	34.0	52.0	clip_13
374	9	69.5	23.5	37.0	65.0	37.5	clip_14
395	9	63.5	33.0	49.0	67.5	42.5	clip_15
432	8	57.0	62.5	42.5	59.0	41.5	clip_16
488	5	59.0	68.0	35.5	51.0	51.0	clip_17
512	8	50.0	28.0	62.0	35.5	59.0	clip_18
535	5	56.5	31.5	50.5	36.5	51.0	clip_19
576	6	34.5	76.5	66.0	32.5	53.5	clip_20
