onset	duration	Move	Agent	Good	Stop	Calm	trial
8	4	58.5	67.5	63.0	23.0	70.0	clip_1
51	8	37.0	75.5	60.5	68.0	81.0	clip_2
80	6	26.5	78.0	65.0	21.5	72.5	clip_3
108	6	27.0	76.5	65.5	18.0	72.0	clip_4
156	3	36.5	77.5	69.5	23.0	70.0	clip_5
209	5	35.5	66.5	66.5	28.5	55.5	clip_6
228	7	50.0	21.0	47.5	51.0	51.0	clip_7
252	6	57.5	22.0	43.5	59.5	44.5	clip_8
288	6	50.0	68.5	47.0	55.0	47.5	clip_9
330	6	56.5	82.5	45.0	60.5	45.0	clip_10
355	8	50.0	84.5	28.5	69.0	37.0	clip_11
390	6	44.5	79.5	36.5	55.0	35.5	clip_12
440	8	50.0	35.0	45.0	58.0	52.0	clip_13
468	9	50.0	75.5	42.5	58.0	40.5	clip_14
501	6	54.5	71.0	44.5	53.0	44.5	clip_15
543	6	50.0	71.0	41.0	53.5	43.0	clip_16
569	8	57.5	73.0	42.5	44.0	47.0	clip_17
611	8	50.0	50.0	43.0	21.5	52.0	clip_18
645	8	54.5	37.0	60.5	19.0	66.5	clip_19
675	8	36.5	54.0	67.0	19.0	68.5	clip_20
719	6	55.5	84.5	40.5	57.0	42.0	clip_21
762	8	61.0	71.5	48.0	56.0	48.5	clip_22
790	5	43.0	69.5	66.0	18.5	80.5	clip_23
