onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
3	7	50.0	93.0	16.5	4.5	90.5	clip_1
44	7	37.5	2.0	100.0	100.0	2.0	clip_2
76	5	67.0	36.5	37.5	71.5	66.0	clip_3
95	8	83.5	57.5	33.5	84.0	61.5	clip_4
139	8	64.0	51.5	92.5	94.5	2.5	clip_5
193	9	66.0	29.5	82.5	82.5	20.0	clip_6
230	7	68.5	33.0	97.0	36.0	61.5	clip_7
270	10	50.0	62.0	43.5	9.0	48.5	clip_8
316	9	50.0	25.5	94.5	71.5	16.0	clip_9
360	8	63.0	66.0	69.5	25.5	68.5	clip_10
420	10	79.5	62.0	97.0	11.5	68.0	clip_11
466	8	50.0	12.0	98.0	95.5	5.0	clip_12
493	8	70.5	23.0	83.0	50.5	16.5	clip_13
525	9	75.0	69.0	87.5	85.5	23.5	clip_14
559	5	32.5	37.5	96.5	97.0	23.5	clip_15
576	8	85.0	76.5	19.5	17.0	85.5	clip_16
590	4	87.0	76.0	21.5	22.5	84.5	clip_17
628	8	86.5	72.0	30.5	0.0	72.5	clip_18
653	5	50.0	0.0	100.0	0.0	0.0	clip_19
670	6	50.0	0.0	93.0	100.0	6.5	clip_20
689	3	94.5	56.5	49.5	2.0	61.0	clip_21
721	6	93.5	75.0	17.5	0.5	87.5	clip_22
737	5	90.5	90.5	94.5	8.5	93.0	clip_23
766	8	100.0	100.0	0.0	0.0	100.0	clip_24
