onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
15	9	50.0	50.0	19.0	19.0	58.0	clip_1
35	5	72.5	15.0	0.0	45.0	61.0	clip_2
63	6	51.5	38.0	3.5	0.0	63.5	clip_3
116	7	69.0	68.5	63.5	63.0	33.5	clip_4
162	8	56.0	77.0	40.5	13.5	25.5	clip_5
185	7	47.5	89.5	89.5	36.0	34.5	clip_6
203	5	25.0	81.5	62.0	80.0	30.0	clip_7
248	7	21.0	62.5	77.0	6.5	2.5	clip_8
286	8	2.5	93.5	93.5	37.5	0.5	clip_9
333	7	60.0	76.0	30.0	71.0	71.0	clip_10
360	7	35.5	78.5	67.5	13.0	13.0	clip_11
383	7	54.0	53.0	31.0	31.0	11.5	clip_12
412	6	48.0	77.5	55.5	25.0	59.5	clip_13
470	9	44.5	61.5	14.5	3.5	29.5	clip_14
517	6	8.0	54.5	71.0	0.0	0.0	clip_15
543	7	16.0	63.5	76.0	8.0	22.0	clip_16
584	8	50.5	62.5	0.0	0.0	17.5	clip_17
627	6	14.0	79.0	41.0	99.0	42.0	clip_18
648	6	43.5	30.0	30.0	8.5	12.5	clip_19
694	7	40.0	40.0	73.5	93.5	7.5	clip_20
743	8	98.5	63.5	0.5	86.0	96.5	clip_21
785	7	100.0	38.0	2.5	66.5	100.0	clip_22
801	6	97.5	82.5	0.5	26.5	99.5	clip_23
