onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
8	4	50.0	50.0	50.0	23.0	60.0	clip_1
51	8	45.5	45.5	41.5	37.5	83.0	clip_2
80	6	37.0	37.0	50.0	58.0	88.5	clip_3
108	6	67.5	48.5	3.0	3.0	97.0	clip_4
156	3	50.0	50.0	0.0	0.0	100.0	clip_5
209	5	60.5	60.5	0.0	0.0	66.5	clip_6
228	7	37.5	100.0	100.0	71.5	0.0	clip_7
252	6	48.0	68.0	68.0	0.0	3.5	clip_8
288	6	50.0	50.0	50.0	76.0	50.5	clip_9
330	6	20.0	59.0	7.0	26.5	15.5	clip_10
355	8	50.0	23.0	91.5	35.5	8.0	clip_11
390	6	50.0	80.0	72.5	27.0	11.5	clip_12
440	8	15.0	95.5	97.5	97.5	0.0	clip_13
468	9	29.0	92.5	38.0	67.0	21.0	clip_14
501	6	27.0	78.5	84.5	50.0	21.0	clip_15
543	6	10.5	95.5	95.5	78.0	0.5	clip_16
569	8	16.5	100.0	100.0	80.5	0.0	clip_17
611	8	50.0	50.0	74.5	74.5	36.5	clip_18
645	8	59.0	52.5	12.5	2.5	59.0	clip_19
675	8	50.0	68.5	10.5	0.0	51.5	clip_20
719	6	50.0	50.0	2.0	81.0	53.5	clip_21
762	8	69.5	51.0	0.0	99.5	69.0	clip_22
790	5	50.0	1.0	1.0	92.0	100.0	clip_23
