onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
19	5	50.0	54.5	100.0	27.5	27.0	clip_1
60	6	70.5	32.5	0.0	80.5	80.5	clip_2
95	5	34.5	100.0	100.0	46.0	39.0	clip_3
131	5	50.0	0.0	4.0	96.5	66.0	clip_4
147	6	50.0	56.0	59.0	69.5	44.5	clip_5
176	6	54.5	0.0	0.0	100.0	71.0	clip_6
210	5	50.0	100.0	100.0	59.5	63.0	clip_7
233	5	52.5	100.0	95.0	62.0	67.0	clip_8
255	7	77.5	47.0	59.0	59.0	77.5	clip_9
286	6	50.0	98.5	100.0	0.0	0.0	clip_10
343	5	50.0	91.0	100.0	75.5	23.0	clip_11
385	8	50.0	19.5	16.0	74.5	41.0	clip_12
412	8	50.0	73.0	100.0	70.0	0.0	clip_13
465	7	71.0	100.0	78.5	71.5	63.0	clip_14
518	6	50.0	56.0	30.5	100.0	50.5	clip_15
555	5	50.0	16.0	0.0	100.0	61.5	clip_16
594	7	50.0	67.0	1.0	70.5	66.0	clip_17
611	7	78.5	100.0	0.0	100.0	100.0	clip_18
633	7	50.0	82.5	100.0	0.0	0.0	clip_19
666	4	50.0	62.0	100.0	0.0	0.0	clip_20
701	9	50.0	0.0	100.0	0.0	0.0	clip_21
740	8	54.5	100.0	100.0	13.5	0.0	clip_22
778	9	50.0	100.0	100.0	0.0	0.0	clip_23
799	7	50.0	24.5	100.0	0.0	0.0	clip_24
839	5	72.0	95.5	95.5	33.5	0.0	clip_25
894	6	50.0	19.5	0.0	38.0	27.0	clip_26
962	7	59.5	99.5	100.0	20.0	0.0	clip_27
1002	8	51.5	60.5	100.0	5.5	0.0	clip_28
1022	5	50.0	0.0	0.0	0.0	0.0	clip_29
