onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
4	5	50.0	13.5	64.0	0.0	27.5	clip_1
44	6	50.0	67.0	100.0	20.5	0.0	clip_2
71	6	51.0	0.0	0.0	100.0	86.5	clip_3
118	8	50.0	57.5	0.0	23.5	49.0	clip_4
142	7	50.0	0.0	0.0	100.0	100.0	clip_5
168	5	40.0	69.5	63.5	67.0	70.0	clip_6
201	8	54.0	0.0	0.0	65.0	72.0	clip_7
232	6	50.0	0.0	0.0	100.0	50.5	clip_8
267	8	50.0	50.0	15.5	18.5	52.5	clip_9
308	7	50.0	0.0	0.0	100.0	47.0	clip_10
341	10	50.0	60.5	60.5	29.0	19.5	clip_11
404	9	50.0	0.0	19.5	69.0	95.0	clip_12
440	8	50.0	0.0	0.0	61.0	70.5	clip_13
473	7	50.0	0.0	0.0	100.0	100.0	clip_14
510	9	57.0	0.0	0.0	60.0	100.0	clip_15
547	4	66.0	0.0	0.0	80.0	100.0	clip_16
596	9	38.5	64.5	69.0	40.0	40.0	clip_17
638	6	36.0	74.5	74.5	29.5	0.0	clip_18
662	5	50.0	96.0	96.0	30.0	25.0	clip_19
690	8	50.0	100.0	100.0	35.0	0.0	clip_20
720	7	50.0	100.0	92.5	21.0	3.0	clip_21
750	8	50.0	100.0	100.0	9.0	0.0	clip_22
777	5	50.0	96.5	100.0	18.0	0.0	clip_23
799	5	50.0	0.0	0.0	54.5	38.0	clip_24
