onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
27	7	42.0	42.0	36.0	33.0	33.0	clip_1
55	6	33.5	33.5	33.5	33.5	33.5	clip_2
80	8	39.0	31.0	31.0	64.0	25.0	clip_3
103	6	57.0	37.5	31.5	29.5	26.0	clip_4
135	8	55.5	32.0	32.0	32.0	32.0	clip_5
184	6	65.0	34.0	26.0	21.0	22.5	clip_6
224	8	53.5	41.0	33.0	60.0	32.5	clip_7
251	10	60.5	29.5	29.5	29.5	29.5	clip_8
282	8	33.5	33.5	33.5	33.5	33.5	clip_9
316	5	34.0	34.0	34.0	34.0	34.0	clip_10
354	8	59.5	32.0	35.0	3.5	11.0	clip_11
372	6	63.5	40.0	40.0	89.0	22.5	clip_12
405	5	62.0	31.0	31.0	6.0	6.0	clip_13
442	7	68.0	23.0	23.0	2.5	2.5	clip_14
485	5	68.5	31.0	31.0	13.0	13.0	clip_15
