onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
15	9	48.5	35.5	64.5	64.0	36.5	clip_1
35	5	50.0	40.5	63.5	63.5	29.0	clip_2
63	6	48.5	37.5	37.5	69.5	30.0	clip_3
116	7	50.0	36.5	36.5	26.5	26.5	clip_4
162	8	61.5	34.0	62.5	19.0	19.0	clip_5
185	7	67.0	30.5	40.0	66.0	26.0	clip_6
203	5	70.5	31.5	31.5	27.0	23.0	clip_7
248	7	49.5	29.5	36.5	24.5	24.5	clip_8
286	8	53.5	40.0	40.0	26.5	26.5	clip_9
333	7	64.0	33.5	44.0	16.0	16.0	clip_10
360	7	63.0	35.0	35.0	72.0	19.0	clip_11
383	7	61.0	36.5	36.5	28.0	28.0	clip_12
412	6	58.0	37.5	37.5	33.5	33.5	clip_13
470	9	70.0	33.0	33.0	22.0	22.0	clip_14
517	6	60.0	34.5	57.0	27.0	27.0	clip_15
543	7	71.5	33.0	44.5	71.5	29.5	clip_16
584	8	50.0	50.0	50.0	61.0	38.0	clip_17
627	6	67.0	34.0	34.0	29.0	26.0	clip_18
648	6	68.5	34.5	34.5	34.5	34.5	clip_19
694	7	90.5	67.5	8.5	8.5	8.5	clip_20
743	8	62.0	42.0	78.0	73.5	25.5	clip_21
785	7	68.5	39.5	70.0	69.0	24.5	clip_22
801	6	56.0	37.0	69.0	26.5	26.5	clip_23
