onset	duration	WarmHeartedness	Command	Happiness	Predictable	Undo	trial
8	4	63.5	31.0	31.0	27.5	27.5	clip_1
51	8	36.5	36.5	36.5	36.5	36.5	clip_2
80	6	64.0	40.5	62.0	69.5	33.5	clip_3
108	6	64.5	34.0	62.5	65.0	30.0	clip_4
156	3	68.0	31.5	67.5	67.5	30.0	clip_5
209	5	38.5	38.5	41.0	71.5	26.0	clip_6
228	7	44.0	32.5	32.5	32.5	32.5	clip_7
252	6	62.5	32.0	32.0	32.0	32.0	clip_8
288	6	60.5	35.0	35.0	35.0	35.0	clip_9
330	6	67.0	39.0	39.0	39.0	39.0	clip_10
355	8	72.0	32.5	32.5	78.0	25.5	clip_11
390	6	75.5	27.0	27.0	76.0	19.5	clip_12
440	8	70.5	27.0	42.5	22.0	22.0	clip_13
468	9	26.5	26.5	26.5	26.5	26.5	clip_14
501	6	68.0	35.0	46.0	80.5	22.0	clip_15
543	6	67.0	33.5	33.5	66.0	19.0	clip_16
569	8	67.5	33.5	33.5	66.0	27.0	clip_17
611	8	36.5	36.5	36.5	36.5	36.5	clip_18
645	8	59.0	32.5	32.5	68.5	29.5	clip_19
675	8	61.0	39.0	36.0	36.0	36.0	clip_20
719	6	56.5	31.5	31.5	31.5	31.5	clip_21
762	8	62.5	38.5	43.0	68.5	27.5	clip_22
790	5	59.0	39.5	61.5	61.5	26.0	clip_23
