onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
27	7	0.0	23.0	0.0	27.0	0.5	clip_1
55	6	9.5	20.0	0.0	0.0	0.0	clip_2
80	8	5.0	33.0	0.0	6.0	0.0	clip_3
103	6	50.0	47.5	0.0	0.0	2.0	clip_4
135	8	0.0	47.5	0.5	28.5	0.0	clip_5
184	6	0.0	48.0	0.0	23.0	3.0	clip_6
224	8	0.0	17.5	0.0	0.0	0.0	clip_7
251	10	9.0	9.0	0.0	0.0	0.0	clip_8
282	8	25.0	0.0	0.0	0.0	0.0	clip_9
316	5	59.0	25.5	0.0	0.0	0.0	clip_10
354	8	42.0	22.5	0.0	0.0	0.0	clip_11
372	6	32.5	40.0	0.0	0.0	0.0	clip_12
405	5	13.5	14.0	0.0	68.5	9.5	clip_13
442	7	9.5	16.5	0.0	4.5	0.0	clip_14
485	5	0.0	37.5	0.0	0.0	0.0	clip_15
