onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
15	9	8.5	11.5	21.5	37.5	0.0	clip_1
35	5	45.0	86.5	78.0	94.0	4.0	clip_2
63	6	26.0	13.0	78.0	21.0	21.0	clip_3
116	7	0.0	0.0	0.0	4.5	4.5	clip_4
162	8	50.5	84.5	73.5	61.0	98.5	clip_5
185	7	1.5	1.5	1.5	1.5	99.0	clip_6
203	5	4.5	12.5	79.0	3.0	96.5	clip_7
248	7	3.0	88.5	76.5	47.5	81.5	clip_8
286	8	1.0	1.0	1.0	1.0	1.0	clip_9
333	7	5.5	81.5	75.0	53.5	95.0	clip_10
360	7	35.0	35.0	72.5	24.5	14.5	clip_11
383	7	40.0	96.0	72.5	72.5	58.0	clip_12
412	6	50.0	50.0	50.0	50.0	87.0	clip_13
470	9	50.0	2.0	2.0	2.0	2.0	clip_14
517	6	50.0	83.0	75.5	61.0	44.5	clip_15
543	7	4.0	4.0	4.0	4.0	4.0	clip_16
584	8	6.5	23.5	9.5	27.5	9.5	clip_17
627	6	6.5	1.0	17.0	10.0	100.0	clip_18
648	6	6.5	19.5	11.0	99.0	99.0	clip_19
694	7	30.5	47.0	47.0	49.5	67.5	clip_20
743	8	97.0	99.0	99.0	99.0	0.0	clip_21
785	7	51.5	96.5	96.5	96.5	7.5	clip_22
801	6	35.5	89.5	90.5	82.0	0.0	clip_23
