onset	duration	Strong	Love	GoalsOther	Good	Guilt	trial
3	7	3.5	3.5	3.5	3.5	55.5	clip_1
44	7	5.0	5.0	87.0	87.0	22.0	clip_2
76	5	50.0	12.5	12.5	12.5	12.5	clip_3
95	8	50.0	3.0	87.0	53.0	53.0	clip_4
139	8	24.0	70.0	70.0	32.0	60.0	clip_5
193	9	50.0	30.5	30.5	35.5	59.5	clip_6
230	7	26.5	26.5	27.5	59.5	86.5	clip_7
270	10	50.0	1.0	4.0	0.0	98.5	clip_8
316	9	50.0	50.0	3.5	3.5	3.5	clip_9
360	8	0.5	0.5	0.5	0.5	0.5	clip_10
420	10	50.0	50.0	50.0	50.0	90.5	clip_11
466	8	50.0	9.0	9.0	27.5	19.0	clip_12
493	8	11.5	4.5	4.5	4.5	90.0	clip_13
525	9	46.0	0.0	0.0	0.0	0.0	clip_14
559	5	57.0	0.0	0.0	18.0	93.5	clip_15
576	8	32.5	6.5	98.5	99.0	97.0	clip_16
590	4	50.0	0.0	88.0	88.0	73.0	clip_17
628	8	26.0	1.0	97.0	23.5	95.5	clip_18
653	5	50.0	50.0	10.0	10.0	45.5	clip_19
670	6	3.0	3.0	70.5	3.5	3.5	clip_20
689	3	24.0	21.0	58.5	12.0	75.5	clip_21
721	6	1.5	1.5	1.5	1.5	99.5	clip_22
737	5	1.5	1.5	1.5	3.0	64.5	clip_23
766	8	4.5	4.5	0.5	1.0	1.0	clip_24
