onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
27	7	15.0	76.5	55.0	24.0	13.0	clip_1
55	6	50.0	5.0	5.0	76.0	4.0	clip_2
80	8	50.0	5.5	5.5	85.5	5.0	clip_3
103	6	50.0	5.5	5.5	84.5	6.0	clip_4
135	8	50.0	5.0	5.0	88.5	7.0	clip_5
184	6	33.5	5.0	5.0	85.0	6.5	clip_6
224	8	32.5	1.0	3.5	86.0	3.5	clip_7
251	10	22.5	5.0	5.0	85.0	3.5	clip_8
282	8	50.0	2.5	2.5	93.0	3.5	clip_9
316	5	50.0	5.0	4.0	94.0	6.5	clip_10
354	8	50.0	5.5	5.5	89.5	4.0	clip_11
372	6	40.0	17.5	2.5	88.0	5.0	clip_12
405	5	35.5	73.0	8.0	57.0	4.0	clip_13
442	7	29.5	6.5	6.5	93.0	7.0	clip_14
485	5	28.5	4.5	5.0	82.5	1.5	clip_15
