onset	duration	Happiness	Muscle	WarmHeartedness	AtEase	Throat	trial
6	5	50.0	1.0	1.0	96.0	96.0	clip_1
29	5	50.0	2.5	2.5	87.0	3.5	clip_2
60	6	50.0	3.5	1.5	85.5	2.0	clip_3
82	7	51.0	8.5	2.0	91.5	3.0	clip_4
113	6	39.5	2.5	2.5	88.5	3.0	clip_5
134	6	35.5	13.0	1.5	87.0	3.5	clip_6
166	9	50.0	3.0	2.5	88.0	2.5	clip_7
196	8	50.0	2.0	2.0	93.5	1.5	clip_8
239	8	50.0	2.5	2.5	88.5	5.0	clip_9
267	9	50.0	1.5	1.5	92.5	3.0	clip_10
307	10	50.0	2.5	2.5	92.0	2.5	clip_11
352	8	43.5	2.5	2.5	94.0	4.5	clip_12
392	6	50.0	2.5	1.5	92.5	2.5	clip_13
405	7	50.0	2.0	2.0	93.0	2.5	clip_14
443	8	50.0	2.5	2.5	92.0	2.5	clip_15
507	9	50.0	3.0	3.0	94.0	0.5	clip_16
532	7	24.5	31.0	6.0	74.5	4.5	clip_17
570	7	50.0	4.5	4.5	89.5	2.5	clip_18
598	9	50.0	2.5	2.5	90.0	2.5	clip_19
645	8	50.0	2.5	1.0	93.5	4.5	clip_20
674	5	50.0	1.0	1.0	90.5	1.5	clip_21
707	9	50.0	3.0	3.0	94.5	3.0	clip_22
740	7	50.0	4.0	4.0	96.0	2.0	clip_23
776	10	50.0	2.5	2.5	89.5	5.5	clip_24
803	5	49.5	3.0	3.5	91.5	3.0	clip_25
829	7	50.0	2.0	2.0	94.0	3.0	clip_26
864	6	34.0	3.0	47.5	85.5	4.0	clip_27
910	8	79.5	2.5	2.5	87.5	5.5	clip_28
955	10	50.0	3.5	3.5	88.5	3.0	clip_29
972	7	38.5	2.0	54.0	89.0	7.5	clip_30
986	6	70.0	5.5	7.5	87.0	5.5	clip_31
