onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
15	9	3.5	74.5	35.0	46.5	0.0	clip_1
35	5	21.0	67.5	31.5	60.0	5.5	clip_2
63	6	0.0	79.5	16.0	36.0	0.0	clip_3
116	7	24.5	63.5	25.0	57.5	6.5	clip_4
162	8	32.0	61.0	65.5	44.0	16.0	clip_5
185	7	55.5	47.0	34.0	46.0	26.0	clip_6
203	5	28.0	78.5	38.5	29.5	8.0	clip_7
248	7	27.0	78.5	39.0	23.0	0.5	clip_8
286	8	38.5	67.5	67.5	77.0	5.0	clip_9
333	7	37.0	52.5	37.0	28.0	15.0	clip_10
360	7	42.0	52.5	48.0	43.0	35.5	clip_11
383	7	26.0	50.0	36.5	24.0	0.0	clip_12
412	6	39.5	45.5	45.5	35.0	22.5	clip_13
470	9	39.0	62.0	48.5	62.5	40.0	clip_14
517	6	16.5	47.0	29.5	23.5	15.0	clip_15
543	7	27.0	63.5	37.0	70.5	32.5	clip_16
584	8	26.5	65.0	35.0	63.0	25.0	clip_17
627	6	25.5	40.5	21.5	35.5	1.0	clip_18
648	6	40.0	51.5	36.5	63.5	9.0	clip_19
694	7	29.5	59.0	40.0	60.5	33.0	clip_20
743	8	34.5	58.0	40.0	51.5	14.0	clip_21
785	7	0.0	78.0	13.5	76.0	0.0	clip_22
801	6	0.0	0.0	0.0	0.0	0.0	clip_23
