onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
3	7	57.0	65.5	68.5	64.0	0.0	clip_1
44	7	0.0	100.0	100.0	10.5	0.0	clip_2
76	5	9.5	71.5	19.5	19.5	0.0	clip_3
95	8	0.0	36.0	10.0	0.0	0.0	clip_4
139	8	0.0	91.0	43.5	7.0	0.0	clip_5
193	9	0.0	85.0	97.0	26.5	0.0	clip_6
230	7	14.0	60.0	28.0	10.0	0.0	clip_7
270	10	21.5	69.5	76.0	42.0	0.0	clip_8
316	9	9.0	71.5	31.5	20.0	0.0	clip_9
360	8	35.0	61.5	26.0	3.5	0.0	clip_10
420	10	46.0	46.0	73.0	19.0	0.0	clip_11
466	8	55.5	43.5	72.0	62.5	0.0	clip_12
493	8	18.5	62.5	50.0	16.5	0.0	clip_13
525	9	26.5	47.5	69.0	27.0	0.0	clip_14
559	5	33.0	68.5	29.5	11.5	0.0	clip_15
576	8	37.0	75.0	85.0	19.0	0.0	clip_16
590	4	18.0	0.0	48.0	65.0	0.0	clip_17
628	8	63.0	68.5	37.0	21.0	0.0	clip_18
653	5	16.0	72.0	26.5	18.5	0.0	clip_19
670	6	21.5	68.0	69.5	34.0	0.0	clip_20
689	3	18.5	73.5	82.0	20.0	0.0	clip_21
721	6	36.5	76.0	28.0	8.5	0.0	clip_22
737	5	22.0	11.0	2.5	1.5	0.0	clip_23
766	8	25.5	15.0	33.0	25.0	0.0	clip_24
