onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
2	6	50.0	0.0	0.0	100.0	100.0	clip_1
23	5	50.0	53.0	6.5	80.0	90.0	clip_2
66	6	50.0	4.0	100.0	31.0	0.0	clip_3
85	7	50.0	82.5	82.5	36.5	4.0	clip_4
106	6	25.5	66.5	100.0	34.0	3.5	clip_5
124	6	50.0	78.5	87.5	38.0	1.0	clip_6
148	6	51.0	21.0	63.0	55.0	33.0	clip_7
170	10	50.0	50.0	0.0	99.5	34.5	clip_8
195	10	50.0	100.0	100.0	0.0	0.0	clip_9
238	8	50.0	75.5	95.5	2.0	0.0	clip_10
264	8	50.0	100.0	100.0	22.5	0.0	clip_11
294	9	50.0	100.0	100.0	10.0	0.0	clip_12
335	8	50.0	100.0	100.0	0.0	0.0	clip_13
359	5	50.0	0.0	0.0	41.0	32.0	clip_14
395	6	50.0	17.0	10.0	39.5	50.0	clip_15
