onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
6	5	50.0	0.0	0.0	95.5	100.0	clip_1
29	5	55.0	0.0	0.0	65.5	99.0	clip_2
60	6	50.0	14.0	0.0	44.5	50.5	clip_3
82	7	51.0	0.0	0.0	56.5	52.0	clip_4
113	6	50.0	56.5	73.0	23.0	58.0	clip_5
134	6	50.0	89.0	83.0	37.0	12.0	clip_6
166	9	48.5	58.0	84.0	27.0	22.0	clip_7
196	8	50.0	54.0	58.0	39.0	11.5	clip_8
239	8	50.0	55.5	93.0	61.0	2.0	clip_9
267	9	50.0	74.5	55.5	58.5	34.5	clip_10
307	10	50.0	63.0	0.0	81.0	23.0	clip_11
352	8	50.0	89.5	68.5	65.0	9.5	clip_12
392	6	50.0	94.0	97.5	38.0	10.0	clip_13
405	7	50.0	89.0	83.0	51.0	51.0	clip_14
443	8	50.0	35.0	17.0	55.0	41.0	clip_15
507	9	50.0	64.0	0.5	66.5	41.0	clip_16
532	7	50.0	63.0	31.0	74.5	50.5	clip_17
570	7	53.0	31.0	15.5	71.5	58.0	clip_18
598	9	86.0	23.5	5.0	88.0	73.5	clip_19
645	8	69.5	78.0	6.5	79.5	79.5	clip_20
674	5	61.5	58.5	22.0	77.5	60.5	clip_21
707	9	81.0	83.0	16.0	61.5	58.0	clip_22
740	7	50.0	60.0	72.0	61.0	43.5	clip_23
776	10	37.5	97.5	97.5	41.5	0.0	clip_24
803	5	50.0	76.5	76.5	43.5	19.5	clip_25
829	7	50.0	26.0	67.0	33.5	20.0	clip_26
864	6	50.0	50.0	97.5	40.5	1.0	clip_27
910	8	50.0	100.0	100.0	64.0	0.0	clip_28
955	10	51.0	90.0	81.0	55.5	4.0	clip_29
972	7	51.0	100.0	100.0	24.5	0.0	clip_30
986	6	50.0	99.0	99.0	55.5	13.0	clip_31
