onset	duration	Pride	Tackle	Frown	Controlled	Happiness	trial
1	5	50.0	100.0	100.0	0.0	0.0	clip_1
26	5	50.0	50.0	23.0	0.0	31.5	clip_2
51	6	50.0	0.5	0.5	100.0	65.0	clip_3
65	6	55.0	18.5	3.0	66.5	37.0	clip_4
99	9	64.0	60.5	37.0	54.0	52.5	clip_5
132	8	50.0	61.0	24.0	41.5	38.0	clip_6
210	8	46.0	34.5	72.5	46.5	22.5	clip_7
240	9	50.0	0.0	0.0	66.0	73.0	clip_8
263	5	50.0	0.0	0.0	36.0	52.0	clip_9
296	9	50.0	17.0	55.5	60.0	60.0	clip_10
328	6	50.0	10.0	0.0	100.0	85.0	clip_11
376	8	50.0	71.5	71.5	56.0	66.5	clip_12
393	11	52.5	67.0	23.5	39.5	35.5	clip_13
422	9	50.0	61.5	100.0	0.0	0.0	clip_14
466	5	42.0	42.0	99.0	27.5	0.0	clip_15
535	8	50.0	16.5	76.0	22.0	90.5	clip_16
551	8	50.0	73.5	100.0	0.0	0.0	clip_17
574	6	60.0	100.0	100.0	7.0	0.0	clip_18
599	7	73.0	65.5	78.5	39.0	87.5	clip_19
641	8	96.0	52.0	11.5	66.5	88.0	clip_20
