onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
6	5	1.0	70.5	19.0	0.0	0.0	clip_1
29	5	0.0	60.0	60.0	22.5	0.0	clip_2
60	6	0.0	75.5	19.5	15.5	4.0	clip_3
82	7	20.5	57.5	24.5	9.5	0.5	clip_4
113	6	17.0	8.5	31.0	17.0	0.0	clip_5
134	6	20.5	52.5	39.0	46.0	0.0	clip_6
166	9	12.0	27.5	15.0	20.0	0.0	clip_7
196	8	34.5	59.5	31.5	18.0	0.0	clip_8
239	8	24.0	59.0	43.0	27.5	0.0	clip_9
267	9	26.0	52.5	38.5	25.5	0.0	clip_10
307	10	34.0	58.0	36.0	27.5	0.0	clip_11
352	8	36.0	53.5	38.0	25.0	0.0	clip_12
392	6	34.0	53.5	38.0	30.0	4.5	clip_13
405	7	31.5	59.0	35.0	32.5	2.5	clip_14
443	8	35.5	23.5	61.5	40.5	0.0	clip_15
507	9	28.0	51.5	28.5	21.5	0.0	clip_16
532	7	37.5	60.0	39.5	39.5	7.5	clip_17
570	7	31.5	58.5	36.0	36.0	15.0	clip_18
598	9	40.0	64.0	39.0	27.0	0.0	clip_19
645	8	26.5	55.5	36.0	25.0	0.0	clip_20
674	5	35.5	64.5	35.5	29.0	0.0	clip_21
707	9	33.0	61.0	42.5	30.5	0.0	clip_22
740	7	29.0	55.5	34.0	23.0	0.5	clip_23
776	10	37.5	58.5	39.0	23.5	0.0	clip_24
803	5	42.0	55.5	38.0	30.0	0.0	clip_25
829	7	50.0	46.5	54.5	34.5	0.0	clip_26
864	6	60.5	41.0	27.5	18.0	0.0	clip_27
910	8	29.0	33.0	20.0	16.5	0.0	clip_28
955	10	36.5	51.0	39.0	31.0	0.0	clip_29
972	7	37.5	58.5	28.0	22.5	11.5	clip_30
986	6	41.0	58.5	38.5	30.0	19.0	clip_31
