onset	duration	Move	Agent	Good	Stop	Calm	trial
19	5	61.0	38.5	38.0	66.5	37.5	clip_1
60	6	37.5	62.0	62.0	35.0	65.5	clip_2
95	5	59.5	72.5	21.5	71.0	36.5	clip_3
131	5	40.0	52.5	52.5	31.5	61.0	clip_4
147	6	42.5	59.5	51.0	46.5	46.5	clip_5
176	6	42.5	59.0	55.0	45.5	53.0	clip_6
210	5	45.5	75.5	30.5	65.5	39.0	clip_7
233	5	54.5	73.5	29.0	66.5	42.5	clip_8
255	7	55.0	25.0	51.0	42.0	53.5	clip_9
286	6	56.0	28.0	29.0	69.0	39.5	clip_10
343	5	44.0	64.5	44.5	49.5	47.0	clip_11
385	8	50.0	66.0	39.0	51.0	38.5	clip_12
412	8	47.0	71.0	25.5	74.5	28.5	clip_13
465	7	44.0	78.5	64.5	43.5	53.0	clip_14
518	6	41.0	62.5	56.0	43.5	63.0	clip_15
555	5	45.0	59.5	61.0	41.5	57.5	clip_16
594	7	46.0	65.0	62.0	30.0	62.0	clip_17
611	7	36.5	72.5	66.0	24.5	66.5	clip_18
633	7	59.5	24.0	28.5	65.0	36.0	clip_19
666	4	56.0	31.5	34.0	73.5	39.0	clip_20
701	9	55.5	43.5	43.5	57.5	44.0	clip_21
740	8	59.0	63.5	30.5	74.0	29.5	clip_22
778	9	58.0	31.0	25.0	73.5	33.0	clip_23
799	7	50.5	27.0	20.0	76.0	31.5	clip_24
839	5	45.5	77.5	28.0	62.5	32.5	clip_25
894	6	59.5	36.0	41.5	52.0	42.5	clip_26
962	7	37.0	22.0	14.5	74.5	23.5	clip_27
1002	8	59.0	20.0	17.5	65.5	32.0	clip_28
1022	5	50.0	40.5	31.0	53.0	39.0	clip_29
