onset	duration	Move	Agent	Good	Stop	Calm	trial
15	6	61.5	72.5	36.5	71.0	37.5	clip_1
38	6	65.5	74.0	39.0	69.5	40.5	clip_2
94	5	39.0	65.0	57.0	39.0	62.0	clip_3
160	8	54.5	28.5	42.5	60.0	45.0	clip_4
190	6	58.5	71.0	71.0	31.5	64.5	clip_5
225	7	40.5	38.0	70.5	35.0	65.0	clip_6
265	7	44.0	35.5	68.0	33.5	66.0	clip_7
298	7	61.0	34.0	35.5	69.0	44.0	clip_8
371	7	53.5	38.5	43.5	55.5	44.5	clip_9
420	5	44.5	58.0	43.5	53.0	46.5	clip_10
452	6	52.5	43.5	49.0	45.5	53.0	clip_11
510	6	54.0	61.0	48.0	55.5	45.5	clip_12
536	6	50.0	60.0	39.5	65.5	37.0	clip_13
575	7	66.0	66.0	32.5	70.0	33.0	clip_14
593	7	62.0	72.5	24.0	76.0	33.5	clip_15
633	7	62.5	31.0	27.0	67.0	38.5	clip_16
663	7	50.0	58.5	31.5	56.0	41.0	clip_17
706	7	47.0	43.5	47.5	44.0	50.5	clip_18
