onset	duration	Move	Agent	Good	Stop	Calm	trial
4	5	56.5	17.5	52.0	45.5	52.0	clip_1
44	6	63.5	66.5	45.5	72.0	35.5	clip_2
71	6	44.5	64.5	64.5	35.5	64.5	clip_3
118	8	37.0	65.5	66.5	32.0	64.0	clip_4
142	7	33.5	63.5	59.0	37.0	68.0	clip_5
168	5	41.0	66.5	60.5	39.0	54.5	clip_6
201	8	42.0	62.5	60.5	43.5	60.0	clip_7
232	6	54.0	35.0	55.5	40.0	40.0	clip_8
267	8	42.5	64.0	52.5	43.0	54.5	clip_9
308	7	42.0	62.5	62.5	40.0	59.5	clip_10
341	10	43.0	57.0	42.0	49.0	45.5	clip_11
404	9	46.5	59.0	57.0	39.5	60.0	clip_12
440	8	39.0	67.5	58.0	41.5	59.5	clip_13
473	7	40.5	64.0	63.0	37.5	65.5	clip_14
510	9	32.5	70.5	69.5	29.0	67.0	clip_15
547	4	35.0	67.0	66.0	32.5	62.5	clip_16
596	9	57.5	63.5	52.0	49.5	49.5	clip_17
638	6	56.0	67.0	43.0	59.5	47.0	clip_18
662	5	59.0	59.0	38.0	60.0	45.5	clip_19
690	8	50.0	62.0	39.0	52.0	44.0	clip_20
720	7	50.0	66.0	48.0	48.0	48.0	clip_21
750	8	44.0	63.0	39.5	39.5	51.0	clip_22
777	5	42.0	53.0	45.0	45.0	45.0	clip_23
799	5	46.5	29.5	53.0	31.0	64.0	clip_24
