onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
4	5	66.5	38.5	27.5	68.5	65.5	clip_1
44	6	37.0	62.0	65.5	70.5	78.0	clip_2
71	6	30.5	27.0	23.0	23.0	33.0	clip_3
118	8	42.5	35.5	31.0	29.0	27.0	clip_4
142	7	47.0	55.0	72.0	68.0	58.5	clip_5
168	5	76.5	70.5	84.0	81.5	84.5	clip_6
201	8	59.5	64.0	79.5	65.0	68.5	clip_7
232	6	36.5	41.5	35.0	30.0	30.0	clip_8
267	8	38.0	53.5	73.0	77.5	75.0	clip_9
308	7	53.5	56.0	51.0	53.0	53.0	clip_10
341	10	32.5	73.0	86.0	75.5	82.0	clip_11
404	9	83.5	87.0	86.5	90.5	97.0	clip_12
440	8	60.0	44.5	75.5	79.5	79.5	clip_13
473	7	89.0	70.5	94.5	97.0	97.5	clip_14
510	9	64.5	70.5	75.5	82.5	82.5	clip_15
547	4	75.5	81.0	91.5	88.5	92.5	clip_16
596	9	61.5	35.0	68.0	74.5	71.0	clip_17
638	6	25.0	75.0	31.5	76.0	91.0	clip_18
662	5	14.5	42.0	27.5	82.5	86.5	clip_19
690	8	9.5	22.0	10.5	70.5	91.0	clip_20
720	7	18.0	41.5	18.0	64.5	72.0	clip_21
750	8	34.5	42.0	63.0	72.0	64.5	clip_22
777	5	30.0	54.5	85.0	86.5	72.0	clip_23
799	5	62.5	45.5	60.5	71.0	71.0	clip_24
