onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
16	5	7.5	26.5	8.5	61.5	86.0	clip_1
48	8	56.5	36.0	28.5	61.5	71.0	clip_2
68	4	27.5	78.5	37.0	71.5	87.0	clip_3
94	7	65.0	43.5	74.5	67.5	79.5	clip_4
116	4	73.0	100.0	31.5	82.0	100.0	clip_5
165	7	0.0	63.5	72.5	83.5	13.5	clip_6
196	6	35.0	64.5	39.0	64.0	79.0	clip_7
232	10	66.5	55.5	72.0	76.0	63.5	clip_8
285	5	78.0	62.0	79.0	82.0	75.0	clip_9
307	7	0.0	97.5	23.5	72.5	100.0	clip_10
355	10	13.5	36.0	21.0	60.5	78.0	clip_11
384	9	0.0	89.0	0.0	93.5	100.0	clip_12
