onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
30	6	19.0	59.0	39.0	62.5	84.5	clip_1
50	7	21.0	35.0	26.5	55.5	76.0	clip_2
71	5	64.5	49.0	69.5	71.5	60.5	clip_3
98	10	36.5	41.5	56.5	66.0	80.0	clip_4
128	5	62.5	52.0	68.0	79.0	88.5	clip_5
152	7	5.5	83.5	5.0	85.0	92.0	clip_6
195	8	0.0	44.5	0.0	87.0	97.0	clip_7
221	9	39.0	47.0	32.5	57.0	76.0	clip_8
255	5	32.5	34.0	30.0	52.5	67.0	clip_9
298	10	23.0	19.0	31.5	60.0	89.5	clip_10
336	4	59.5	58.5	72.0	73.0	18.0	clip_11
350	9	27.5	40.5	24.5	61.0	76.0	clip_12
376	9	26.0	50.5	36.5	59.0	74.0	clip_13
428	10	81.5	41.0	71.5	78.5	18.5	clip_14
455	4	90.5	59.5	100.0	77.5	84.0	clip_15
484	8	55.5	55.5	42.0	55.0	66.0	clip_16
510	10	98.0	68.0	100.0	89.0	91.0	clip_17
532	8	81.5	62.5	93.0	75.5	84.5	clip_18
553	7	8.5	100.0	0.0	100.0	81.0	clip_19
582	8	65.0	53.0	75.5	78.5	64.5	clip_20
