onset	duration	Strong	Surprise	Repeat	IntenseEmotion	Move	trial
15	6	15.0	100.0	15.0	87.5	100.0	clip_1
38	6	25.0	71.0	16.0	71.5	100.0	clip_2
94	5	31.5	55.0	35.0	62.5	76.0	clip_3
160	8	68.0	71.5	58.5	71.0	71.0	clip_4
190	6	100.0	65.0	99.0	92.5	35.5	clip_5
225	7	100.0	56.5	100.0	86.0	100.0	clip_6
265	7	78.0	42.0	95.5	84.5	89.0	clip_7
298	7	3.5	85.0	22.0	80.0	100.0	clip_8
371	7	34.0	48.0	29.5	65.0	90.5	clip_9
420	5	6.0	74.0	27.5	80.5	12.0	clip_10
452	6	59.5	41.5	63.0	69.5	54.5	clip_11
510	6	16.0	74.5	28.5	78.0	100.0	clip_12
536	6	0.0	75.5	13.0	80.5	100.0	clip_13
575	7	100.0	37.5	94.5	97.5	100.0	clip_14
593	7	25.0	100.0	54.0	84.0	9.5	clip_15
633	7	24.0	71.0	51.0	78.0	7.5	clip_16
663	7	0.0	58.0	4.5	92.0	4.5	clip_17
706	7	18.5	29.5	26.5	71.0	35.0	clip_18
