onset	duration	Move	Agent	Good	Stop	Calm	trial
16	5	31.0	66.5	38.0	60.5	66.0	clip_1
45	6	33.5	33.5	67.0	20.5	70.5	clip_2
80	6	33.0	36.0	38.0	67.5	52.5	clip_3
110	7	35.0	35.0	71.5	25.5	66.0	clip_4
140	6	61.0	65.0	40.0	72.0	55.5	clip_5
173	7	64.5	68.0	24.0	75.5	44.5	clip_6
193	6	71.5	70.0	21.0	81.0	34.0	clip_7
225	5	66.0	66.0	32.0	74.5	37.0	clip_8
243	5	37.5	66.0	58.5	58.5	39.0	clip_9
250	8	35.5	65.5	56.5	25.0	64.5	clip_10
270	4	28.0	27.5	75.0	17.5	71.0	clip_11
310	6	65.0	66.0	34.5	66.5	38.0	clip_12
328	10	63.5	66.0	35.0	74.0	36.5	clip_13
360	6	55.5	50.0	38.5	60.0	49.0	clip_14
397	7	55.0	60.0	48.0	46.5	51.5	clip_15
440	5	69.5	69.5	31.5	70.0	39.0	clip_16
452	8	58.5	58.0	39.0	60.5	44.0	clip_17
478	6	34.5	59.5	39.5	47.5	54.0	clip_18
