onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
3	7	18.5	52.5	21.0	23.0	67.0	clip_1
44	7	0.0	67.5	65.0	77.5	73.5	clip_2
76	5	0.0	91.0	83.0	90.0	71.5	clip_3
95	8	0.0	66.0	66.0	66.0	72.0	clip_4
139	8	0.5	90.5	63.0	45.5	55.5	clip_5
193	9	0.0	75.0	80.5	80.5	84.5	clip_6
230	7	0.0	71.0	71.0	74.5	78.0	clip_7
270	10	0.0	72.0	72.0	76.0	90.5	clip_8
316	9	0.0	83.0	79.5	90.0	100.0	clip_9
360	8	0.0	5.0	48.0	35.0	79.5	clip_10
420	10	0.0	66.5	70.0	39.0	64.0	clip_11
466	8	3.5	66.5	70.5	68.5	80.0	clip_12
493	8	0.0	79.5	100.0	100.0	93.5	clip_13
525	9	0.0	48.0	64.0	76.5	76.5	clip_14
559	5	0.0	0.0	0.0	49.5	20.0	clip_15
576	8	0.0	70.5	72.0	83.0	100.0	clip_16
590	4	0.0	10.5	16.5	45.5	65.0	clip_17
628	8	4.0	65.5	68.0	34.5	79.0	clip_18
653	5	2.0	59.5	46.5	46.5	68.0	clip_19
670	6	9.0	44.5	35.0	30.5	63.5	clip_20
689	3	0.0	88.5	74.0	84.5	84.5	clip_21
721	6	0.0	90.0	67.0	28.0	100.0	clip_22
737	5	0.0	60.0	14.5	48.5	75.5	clip_23
766	8	0.0	100.0	21.5	25.0	100.0	clip_24
