onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
9	4	53.5	53.5	53.5	62.5	60.0	clip_1
37	8	47.0	47.0	34.0	49.5	67.0	clip_2
58	4	35.0	64.0	37.5	51.5	43.5	clip_3
80	4	31.0	56.0	30.5	48.5	38.0	clip_4
104	10	42.0	51.0	33.5	47.5	33.5	clip_5
134	7	22.5	72.0	30.5	46.0	67.5	clip_6
155	5	22.0	62.0	27.0	49.0	49.0	clip_7
188	6	14.5	67.0	45.0	45.0	62.5	clip_8
209	8	6.0	64.5	27.5	44.0	61.0	clip_9
237	8	20.5	59.0	12.5	48.0	47.0	clip_10
279	9	8.0	93.0	27.5	73.0	78.0	clip_11
307	5	17.5	76.0	29.0	79.5	83.5	clip_12
358	6	14.0	77.5	55.0	84.0	88.5	clip_13
374	9	12.5	82.0	20.5	48.0	21.0	clip_14
395	9	11.0	68.5	34.5	74.0	74.0	clip_15
432	8	29.5	65.5	0.0	47.5	0.0	clip_16
488	5	74.0	65.0	8.0	45.5	0.0	clip_17
512	8	54.5	75.0	21.5	65.0	47.0	clip_18
535	5	65.0	65.0	47.5	71.5	54.5	clip_19
576	6	57.5	47.0	30.0	84.0	56.0	clip_20
