onset	duration	Alert	GoalsOther	Repeat	PleasantSelf	Tackle	trial
15	9	0.0	75.5	71.0	100.0	47.0	clip_1
35	5	0.0	89.5	68.0	89.0	89.0	clip_2
63	6	0.0	88.5	89.0	47.0	86.5	clip_3
116	7	0.0	100.0	76.0	38.5	100.0	clip_4
162	8	0.0	90.0	62.0	82.5	70.0	clip_5
185	7	1.0	65.5	75.5	65.5	89.5	clip_6
203	5	0.0	57.0	38.0	47.0	58.0	clip_7
248	7	0.0	53.0	29.5	50.0	43.0	clip_8
286	8	0.5	100.0	75.0	86.0	91.0	clip_9
333	7	9.5	66.0	77.0	83.5	83.5	clip_10
360	7	0.0	15.0	0.0	49.0	22.0	clip_11
383	7	1.0	62.0	14.0	41.5	78.5	clip_12
412	6	0.0	26.0	10.0	45.5	11.5	clip_13
470	9	0.0	60.5	29.0	42.5	53.5	clip_14
517	6	3.5	61.5	26.0	41.5	83.0	clip_15
543	7	11.5	25.0	11.5	48.0	31.0	clip_16
584	8	9.0	9.0	5.5	45.5	5.5	clip_17
627	6	1.0	75.5	31.5	39.5	82.5	clip_18
648	6	15.0	27.5	40.0	59.0	68.0	clip_19
694	7	2.5	95.5	97.0	100.0	83.0	clip_20
743	8	0.5	100.0	96.5	99.0	52.0	clip_21
785	7	3.0	67.0	73.0	92.5	47.0	clip_22
801	6	0.0	73.5	100.0	100.0	67.0	clip_23
