onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
19	5	4.0	32.0	0.0	48.5	0.0	clip_1
60	6	0.0	46.5	0.0	23.5	1.5	clip_2
95	5	41.5	19.5	0.0	1.5	0.0	clip_3
131	5	0.0	45.0	0.0	0.0	0.0	clip_4
147	6	0.0	47.0	0.0	0.0	0.0	clip_5
176	6	0.0	49.0	0.0	0.0	0.0	clip_6
210	5	43.0	10.0	0.0	5.5	0.5	clip_7
233	5	53.0	15.5	0.0	1.5	0.0	clip_8
255	7	5.5	35.0	0.0	0.0	0.0	clip_9
286	6	0.0	23.0	1.5	58.0	2.0	clip_10
343	5	50.0	50.0	0.0	0.0	0.0	clip_11
385	8	45.5	21.5	0.0	5.0	0.0	clip_12
412	8	17.0	26.5	9.0	0.0	2.0	clip_13
465	7	40.5	30.5	10.0	0.0	6.0	clip_14
518	6	0.0	49.0	0.0	0.0	0.0	clip_15
555	5	0.0	47.5	0.0	0.0	0.0	clip_16
594	7	0.0	49.0	4.0	4.0	4.0	clip_17
611	7	0.0	39.5	0.0	0.0	0.0	clip_18
633	7	0.0	3.0	34.0	0.5	64.0	clip_19
666	4	1.5	3.5	88.5	65.5	76.5	clip_20
701	9	0.0	21.0	4.0	44.5	20.0	clip_21
740	8	0.0	13.5	57.0	72.5	48.0	clip_22
778	9	3.0	2.0	55.0	30.5	61.0	clip_23
799	7	22.5	10.5	61.0	12.0	72.0	clip_24
839	5	0.0	46.0	74.0	0.0	94.5	clip_25
894	6	0.0	50.5	60.0	25.0	11.5	clip_26
962	7	0.0	36.0	77.0	27.0	96.0	clip_27
1002	8	2.0	33.5	95.5	63.0	99.0	clip_28
1022	5	0.0	52.0	92.0	50.0	98.0	clip_29
