onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
9	4	0.0	50.5	0.0	0.0	0.0	clip_1
37	8	16.5	30.5	0.0	16.0	0.0	clip_2
58	4	0.0	48.5	0.0	0.0	0.5	clip_3
80	4	0.0	46.5	0.0	6.5	0.0	clip_4
104	10	0.0	39.5	0.0	9.0	0.0	clip_5
134	7	0.0	26.5	0.0	8.5	0.0	clip_6
155	5	3.0	9.5	0.0	1.5	0.0	clip_7
188	6	0.0	47.0	0.0	0.0	0.0	clip_8
209	8	0.0	33.5	0.0	0.0	0.0	clip_9
237	8	2.0	50.5	0.0	0.0	0.0	clip_10
279	9	0.0	47.0	0.0	4.5	0.0	clip_11
307	5	0.0	48.0	0.0	6.5	0.0	clip_12
358	6	0.0	51.0	0.0	4.0	0.0	clip_13
374	9	0.0	22.0	0.0	2.5	0.0	clip_14
395	9	0.0	50.5	0.0	0.0	0.0	clip_15
432	8	0.0	0.0	0.0	0.0	0.0	clip_16
488	5	0.0	39.0	0.0	0.0	0.0	clip_17
512	8	0.0	0.0	0.0	0.0	0.0	clip_18
535	5	0.0	39.5	0.0	0.0	0.0	clip_19
576	6	0.0	40.5	0.0	0.0	0.0	clip_20
