onset	duration	Anger	PleasantSelf	Sad	Suddenly	Tears	trial
15	6	0.0	48.0	0.0	42.0	0.0	clip_1
38	6	0.0	40.5	1.5	14.0	0.0	clip_2
94	5	0.0	52.0	0.0	0.0	0.0	clip_3
160	8	0.5	53.0	0.0	4.5	0.0	clip_4
190	6	0.0	49.0	0.0	3.0	0.0	clip_5
225	7	0.0	49.5	0.0	0.0	0.0	clip_6
265	7	0.0	83.0	0.0	1.5	0.0	clip_7
298	7	10.5	31.0	11.5	43.0	0.0	clip_8
371	7	0.0	49.0	0.0	0.0	0.0	clip_9
420	5	0.0	26.5	0.0	4.0	0.0	clip_10
452	6	0.0	65.5	0.0	3.5	0.0	clip_11
510	6	0.0	44.5	0.0	14.5	0.0	clip_12
536	6	0.0	33.5	0.0	0.0	0.0	clip_13
575	7	3.0	21.5	0.0	0.0	0.0	clip_14
593	7	12.0	12.5	32.0	7.0	0.0	clip_15
633	7	6.0	6.5	6.5	6.5	0.0	clip_16
663	7	3.0	47.5	0.5	8.5	2.5	clip_17
706	7	0.0	72.5	30.5	6.0	0.0	clip_18
