onset	duration	Regard	Undo	SocialNorms	Controlled	Stop	trial
6	5	50.0	12.0	82.0	85.0	13.0	clip_1
29	5	35.5	17.5	84.0	64.5	17.0	clip_2
60	6	64.0	22.5	57.0	13.5	77.5	clip_3
82	7	78.5	14.0	44.5	24.5	30.5	clip_4
113	6	92.0	91.0	36.0	36.0	83.5	clip_5
134	6	89.0	89.0	1.5	90.0	86.0	clip_6
166	9	87.0	85.0	56.5	7.5	90.5	clip_7
196	8	78.5	14.5	77.5	87.0	22.5	clip_8
239	8	90.5	88.5	22.0	45.5	75.0	clip_9
267	9	50.0	17.0	28.5	53.5	35.5	clip_10
307	10	28.5	15.5	76.0	94.0	14.0	clip_11
352	8	85.0	76.0	16.5	86.5	81.5	clip_12
392	6	85.0	85.0	12.5	33.0	85.0	clip_13
405	7	88.0	84.5	15.5	84.5	86.5	clip_14
443	8	83.5	76.5	29.5	68.5	86.0	clip_15
507	9	82.0	24.0	74.0	74.5	52.0	clip_16
532	7	86.5	86.5	22.0	16.0	74.5	clip_17
570	7	27.5	69.0	59.5	22.5	70.5	clip_18
598	9	17.5	19.0	70.0	82.0	11.5	clip_19
645	8	50.0	30.0	62.5	87.5	8.5	clip_20
674	5	50.0	26.0	62.5	73.5	15.0	clip_21
707	9	67.5	30.5	28.5	20.5	70.5	clip_22
740	7	50.0	63.0	73.0	36.5	67.5	clip_23
776	10	66.5	33.0	74.5	25.5	11.5	clip_24
803	5	75.5	71.5	24.0	67.5	45.0	clip_25
829	7	68.5	68.5	48.5	37.0	74.0	clip_26
864	6	50.0	62.5	30.0	64.0	65.0	clip_27
910	8	30.0	51.0	65.5	65.5	57.0	clip_28
955	10	37.5	58.5	62.5	63.0	42.0	clip_29
972	7	74.5	62.5	62.5	70.0	75.0	clip_30
986	6	62.0	63.5	68.5	79.0	60.0	clip_31
